sequence,timestamp,process_pid,process_start_time,phase,delayed,rss_kib,pss_kib,pss_anon_kib,private_dirty_kib,anonymous_kib,swap_kib,docker_memory_usage_bytes,docker_memory_limit_bytes,has_docker_memory,vma_count,fd_count,socket_fd_count,thread_count,pid_count,cgroup_anon_bytes,cgroup_current_bytes,cgroup_memory_stat_anon,has_cgroup,has_cgroup_anon,oom_events,oom_kill_events,bgp_state,bgp_fsm_ticks,reconnect_count,has_rss,has_pss,has_pss_anon,has_private_dirty,has_anonymous,has_swap,has_thread_count,has_pid_count,has_fd_count,has_socket_fd_count,has_vma_count
0,2026-07-21T15:15:46.322810409+03:00,2189128,636309962,startup,false,0,0,0,0,0,0,1675264,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
1,2026-07-21T15:15:47.332851178+03:00,2189128,636309962,startup,false,0,0,0,0,0,0,1675264,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
2,2026-07-21T15:15:49.337587166+03:00,2189128,636309962,startup,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
3,2026-07-21T15:15:51.344927181+03:00,2189128,636309962,startup,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
4,2026-07-21T15:15:53.352555029+03:00,2189128,636309962,startup,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
5,2026-07-21T15:15:55.360289922+03:00,2189128,636309962,warmup,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
6,2026-07-21T15:15:57.36706984+03:00,2189128,636309962,warmup,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
7,2026-07-21T15:15:59.374202302+03:00,2189128,636309962,warmup,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
8,2026-07-21T15:16:01.383906364+03:00,2189128,636309962,warmup,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
9,2026-07-21T15:16:03.399850366+03:00,2189128,636309962,warmup,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
10,2026-07-21T15:16:05.406028321+03:00,2189128,636309962,baseline,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
11,2026-07-21T15:16:07.412276157+03:00,2189128,636309962,baseline,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
12,2026-07-21T15:16:09.41928068+03:00,2189128,636309962,baseline,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
13,2026-07-21T15:16:11.42671975+03:00,2189128,636309962,baseline,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
14,2026-07-21T15:16:13.434523203+03:00,2189128,636309962,baseline,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
15,2026-07-21T15:16:15.442125747+03:00,2189128,636309962,baseline,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
16,2026-07-21T15:16:17.449632184+03:00,2189128,636309962,baseline,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
17,2026-07-21T15:16:19.457081159+03:00,2189128,636309962,baseline,true,0,0,0,0,0,0,1671168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
18,2026-07-21T15:16:21.465023187+03:00,2189128,636309962,stimulus,true,0,0,0,0,0,0,2183168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
19,2026-07-21T15:16:23.470815036+03:00,2189128,636309962,stimulus,true,0,0,0,0,0,0,2183168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
20,2026-07-21T15:16:25.476874562+03:00,2189128,636309962,stimulus,true,0,0,0,0,0,0,2183168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
21,2026-07-21T15:16:27.484297835+03:00,2189128,636309962,stimulus,true,0,0,0,0,0,0,2183168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
22,2026-07-21T15:16:29.494615798+03:00,2189128,636309962,stimulus,true,0,0,0,0,0,0,2183168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
23,2026-07-21T15:16:31.503762581+03:00,2189128,636309962,stimulus,true,0,0,0,0,0,0,2183168,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
