sequence,timestamp,process_pid,process_start_time,phase,delayed,rss_kib,pss_kib,pss_anon_kib,private_dirty_kib,anonymous_kib,swap_kib,docker_memory_usage_bytes,docker_memory_limit_bytes,has_docker_memory,vma_count,fd_count,socket_fd_count,thread_count,pid_count,cgroup_anon_bytes,cgroup_current_bytes,cgroup_memory_stat_anon,has_cgroup,has_cgroup_anon,oom_events,oom_kill_events,bgp_state,bgp_fsm_ticks,reconnect_count,has_rss,has_pss,has_pss_anon,has_private_dirty,has_anonymous,has_swap,has_thread_count,has_pid_count,has_fd_count,has_socket_fd_count,has_vma_count
0,2026-07-21T13:57:49.503807778+03:00,2084858,635842283,startup,false,0,0,0,0,0,0,1716224,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
1,2026-07-21T13:57:50.513814332+03:00,2084858,635842283,startup,false,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
2,2026-07-21T13:57:52.521033063+03:00,2084858,635842283,startup,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
3,2026-07-21T13:57:54.527805808+03:00,2084858,635842283,startup,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
4,2026-07-21T13:57:56.533809545+03:00,2084858,635842283,startup,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
5,2026-07-21T13:57:58.541498589+03:00,2084858,635842283,warmup,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
6,2026-07-21T13:58:00.548184063+03:00,2084858,635842283,warmup,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
7,2026-07-21T13:58:02.553897152+03:00,2084858,635842283,warmup,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
8,2026-07-21T13:58:04.560508494+03:00,2084858,635842283,warmup,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
9,2026-07-21T13:58:06.567101352+03:00,2084858,635842283,warmup,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
10,2026-07-21T13:58:08.574700434+03:00,2084858,635842283,baseline,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
11,2026-07-21T13:58:10.582191827+03:00,2084858,635842283,baseline,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
12,2026-07-21T13:58:12.588031135+03:00,2084858,635842283,baseline,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
13,2026-07-21T13:58:14.594719584+03:00,2084858,635842283,baseline,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
14,2026-07-21T13:58:16.602232944+03:00,2084858,635842283,baseline,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
15,2026-07-21T13:58:18.608961235+03:00,2084858,635842283,baseline,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
16,2026-07-21T13:58:20.616770882+03:00,2084858,635842283,baseline,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
17,2026-07-21T13:58:22.624029375+03:00,2084858,635842283,baseline,true,0,0,0,0,0,0,1708032,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
18,2026-07-21T13:58:24.632347211+03:00,2084858,635842283,stimulus,true,0,0,0,0,0,0,2445312,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
