sequence,timestamp,process_pid,process_start_time,phase,delayed,rss_kib,pss_kib,pss_anon_kib,private_dirty_kib,anonymous_kib,swap_kib,docker_memory_usage_bytes,docker_memory_limit_bytes,has_docker_memory,vma_count,fd_count,socket_fd_count,thread_count,pid_count,cgroup_anon_bytes,cgroup_current_bytes,cgroup_memory_stat_anon,has_cgroup,has_cgroup_anon,oom_events,oom_kill_events,bgp_state,bgp_fsm_ticks,reconnect_count,has_rss,has_pss,has_pss_anon,has_private_dirty,has_anonymous,has_swap,has_thread_count,has_pid_count,has_fd_count,has_socket_fd_count,has_vma_count
0,2026-07-21T10:02:23.48483199+03:00,1611206,634429682,startup,false,0,0,0,0,0,0,1966080,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
1,2026-07-21T10:02:24.495260445+03:00,1611206,634429682,startup,false,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
2,2026-07-21T10:02:26.501156822+03:00,1611206,634429682,startup,true,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
3,2026-07-21T10:02:28.506911287+03:00,1611206,634429682,startup,true,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
4,2026-07-21T10:02:30.512330397+03:00,1611206,634429682,startup,true,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
5,2026-07-21T10:02:32.520308797+03:00,1611206,634429682,warmup,true,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
6,2026-07-21T10:02:34.528861374+03:00,1611206,634429682,warmup,true,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
7,2026-07-21T10:02:36.536627112+03:00,1611206,634429682,warmup,true,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
8,2026-07-21T10:02:38.543312814+03:00,1611206,634429682,warmup,true,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
9,2026-07-21T10:02:40.548207813+03:00,1611206,634429682,warmup,true,0,0,0,0,0,0,1728512,134217728,true,0,0,0,0,0,0,0,0,false,false,0,0,,0,0,false,false,false,false,false,false,false,false,false,false,false
